"Plane Type","Arrival Time","","",""
"Red","0","","",""
"Red","1","","",""
"Red","4","","",""
"Red","5","","",""
"Red","7","","",""
"Red","9","","",""
"Red","12","","",""
"Red","13","","",""
"Red","15","","",""
"Red","17","","",""
"Red","18","","",""
"Red","20","","",""
"Red","22","","",""
"Red","26","","",""
"Red","27","","",""
"Red","29","","",""
"Red","30","","",""
"Red","31","","",""
"Red","33","","",""
"Red","35","","",""
"Red","36","","",""
"Red","38","","",""
"Red","39","","",""
"Red","40","","",""
"Red","42","","",""
"Red","43","","",""
"Red","45","","",""
"Red","47","","",""
"Red","49","","",""
"Red","51","","",""
"Red","52","","",""
"Red","53","","",""
"Red","54","","",""
"Red","56","","",""
"Red","57","","",""
