Plane Type,Arrival Time
Red,0.75
Red,3
Red,3.75
Red,4.5
Red,6.095388262
Red,7.86870906
Red,10.23939242
Red,12.00331069
Red,12.75331069
Red,13.50331069
Red,14.25331069
Red,17.25331069
Red,18.93036089
Red,20.43036089
Red,21.18036089
Red,22.97061166
Red,25.46741707
Red,27.14470457
Red,27.89470457
Red,28.64470457
Red,30.97600735
Red,32.71589332
Red,34.21589332
Red,35.84469886
Red,36.59469886
Red,38.95477346
Red,40.66027814
Red,45.33729972
Red,47.86686151
Red,50.91137023
Red,51.66137023
Red,53.97784666
Red,55.49097396
Red,57.27517782
Red,58.82524262
